NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
3,MAILLET,Sylvie,Mme,EXG,Extrême gauche,7201
4,BONNET,Ghislaine,Mme,UG,Union de la gauche,7201
5,DE COSSÉ BRISSAC,Céline,Mme,RN,Rassemblement National,7201
1,FEVRE,François,M.,UXD,Union de l'extrême droite,7202
2,CHEVALLIER,Samuel,M.,UDI,Union des Démocrates et Indépendants,7202
3,HUBERT,Thomas,M.,EXG,Extrême gauche,7202
4,CHEURET,Clément,M.,DIV,Divers,7202
5,KARAMANLI,Marietta,Mme,UG,Union de la gauche,7202
1,JACK,Mathilde,Mme,UG,Union de la gauche,7203
2,MARTINEAU,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),7203
3,TROCHON,Éric,M.,DSV,Droite souverainiste,7203
4,LEMOIGNE,Romain,M.,RN,Rassemblement National,7203
5,BRUTOUT,Maryse,Mme,EXG,Extrême gauche,7203
6,GRUAU,Vincent,M.,LR,Les Républicains,7203
7,DE MALHERBE,Raymond,M.,REC,Reconquête !,7203
1,BARBET,Didier,M.,DVD,Divers droite,7204
2,NOUCHY,Thierry,M.,EXG,Extrême gauche,7204
3,BRISARD,Léo,M.,LR,Les Républicains,7204
4,CASENAVE-PÉRÉ,Sylvie,Mme,ENS,Ensemble ! (Majorité présidentielle),7204
5,BRUGADE,Jean-Michel,M.,REG,Régionaliste,7204
6,LEBOUCHER,Elise,Mme,UG,Union de la gauche,7204
7,LE PEN,Marie-Caroline,Mme,RN,Rassemblement National,7204
1,ROUILLON,Christophe,M.,UG,Union de la gauche,7205
2,GRELIER,Jean-Carles,M.,ENS,Ensemble ! (Majorité présidentielle),7205
3,FOUQUET,Karine,Mme,EXG,Extrême gauche,7205
4,BAYLE DE JESSÉ,Cécile,Mme,DSV,Droite souverainiste,7205
5,VAUGARNY,Pierre,M.,RN,Rassemblement National,7205
1,PEYRARD,Guy-Alain,M.,REC,Reconquête !,7301
2,CASEJUANE,Adrien,M.,EXG,Extrême gauche,7301
3,CHAUVEAU,Jean-Pierre,M.,DSV,Droite souverainiste,7301
4,GRANATA,Christel,Mme,UG,Union de la gauche,7301
5,DEGOIS,Typhanie,Mme,UXD,Union de l'extrême droite,7301
6,FERRARI,Marina,Mme,ENS,Ensemble ! (Majorité présidentielle),7301
7,EXERTIER,Frédéric,M.,ECO,Ecologistes,7301
1,ROLLAND,Vincent,M.,LR,Les Républicains,7302
2,RACT-BRANCAZ,Pauline,Mme,RN,Rassemblement National,7302
3,BETTOLI,Morgane,Mme,REC,Reconquête !,7302
4,CICERI,Mathieu,M.,DSV,Droite souverainiste,7302
5,JAFFRÉ,Delphine,Mme,REG,Régionaliste,7302
6,RAHALIA,Myriam,Mme,EXG,Extrême gauche,7302
7,MARTINOT,Pascale,Mme,UG,Union de la gauche,7302
1,IBANEZ,Daniel,M.,UG,Union de la gauche,7303
2,DAUCHY,Marie,Mme,RN,Rassemblement National,7303
3,BONNIVARD,Emilie,Mme,LR,Les Républicains,7303
4,TROUVÉ,Pascale,Mme,EXG,Extrême gauche,7303
1,GOMERO,Anaïs,Mme,ENS,Ensemble ! (Majorité présidentielle),7304
2,COULOMME,Jean-François,M.,UG,Union de la gauche,7304
3,BERNARD,Brice,M.,RN,Rassemblement National,7304
4,BERNOLLIN,Vincent,M.,UDI,Union des Démocrates et Indépendants,7304
5,DUCRUET,Marie,Mme,EXG,Extrême gauche,7304
6,THOMAZO,Vincent,M.,DSV,Droite souverainiste,7304
7,GUILLAUD,Albin,M.,DIV,Divers,7304
1,THABUIS,Florian,M.,LR,Les Républicains,7401
2,MOLIN,Claudine,Mme,REC,Reconquête !,7401
3,MATTEI,Jacques,M.,EXG,Extrême gauche,7401
4,ROIT-LEVÊQUE,Guilaume,M.,RN,Rassemblement National,7401
5,ESPIC,Stéphane,M.,DIV,Divers,7401
6,RIOTTON,Véronique,Mme,ENS,Ensemble ! (Majorité présidentielle),7401
7,DUVAL,Anne-Valérie,Mme,UG,Union de la gauche,7401
1,YILDIRIM,Naci,M.,EXG,Extrême gauche,7402
2,BOUVARD,Anis,M.,RN,Rassemblement National,7402
3,VINCENT,Pascale,Mme,REC,Reconquête !,7402
4,CORNET,Geoffrey,M.,UG,Union de la gauche,7402
